word,count,band
familien-mitglieder,7,f4
forscher,7,f4
freuen,7,f4
getan,7,f4
gewerkschaften,7,f4
gewonnen,7,f4
halle,7,f4
heißen,7,f4
helfer,7,f4
interessen,7,f4
klima,7,f4
kümmern,7,f4
leipzig,7,f4
manuel,7,f4
mehreren,7,f4
party,7,f4
robert,7,f4
schneller,7,f4
schüler,7,f4
selten,7,f4
sender,7,f4
sieg,7,f4
städte,7,f4
text,7,f4
trinken,7,f4
unterschiedliche,7,f4
verkauft,7,f4
vertreten,7,f4
verwenden,7,f4
video-beweis,7,f4
voller,7,f4
wand,7,f4
ziele,7,f4
alleine,6,f4
baden,6,f4
bau,6,f4
bessere,6,f4
bezahlt,6,f4
bundeswehr,6,f4
durften,6,f4
erben,6,f4
erde,6,f4
ermittelt,6,f4
erstmal,6,f4
erzählt,6,f4
fallen,6,f4
fehlen,6,f4
flughafen,6,f4
fährt,6,f4
gearbeitet,6,f4
gebäude,6,f4
gefällt,6,f4
größer,6,f4
ideen,6,f4
ig,6,f4
inklusive,6,f4
kindern,6,f4
klima-wandel,6,f4
luther,6,f4
länder,6,f4
martin,6,f4
metall,6,f4
mitmachen,6,f4
männern,6,f4
radio,6,f4
republik,6,f4
rufen,6,f4
schiffe,6,f4
schwerer,6,f4
schwierig,6,f4
spielern,6,f4
spät,6,f4
sterben,6,f4
strom,6,f4
tanzen,6,f4
trainer,6,f4
trifft,6,f4
vergangenen,6,f4
verliert,6,f4
veröffentlichen,6,f4
wetter,6,f4
wm-finale,6,f4
zieht,6,f4
öffnen,6,f4
alltag,5,f4
auftrag,5,f4
bakterien,5,f4
baum-häusern,5,f4
baut,5,f4
benutzen,5,f4
benutzt,5,f4
besuchen,5,f4
bilden,5,f4
bundes-land,5,f4
eintritt,5,f4
elektronische,5,f4
englisch,5,f4
entscheidet,5,f4
erleben,5,f4
fifa,5,f4
forderungen,5,f4
fragte,5,f4
freiwillig,5,f4
fußball-spielen,5,f4
fußball-wm,5,f4
fähigkeiten,5,f4
gebaut,5,f4
gegner,5,f4
gekämpft,5,f4
gerecht,5,f4
gerufen,5,f4
geschafft,5,f4
gesetze,5,f4
gestellt,5,f4
gesucht,5,f4
getroffen,5,f4
gewerkschaft,5,f4
grenzen,5,f4
großbritannien,5,f4
gucken,5,f4
halbzeit,5,f4
hofft,5,f4
holstein,5,f4
kirchen,5,f4
klein,5,f4
kranke,5,f4
kämpfen,5,f4
lautet,5,f4
leichter,5,f4
leser,5,f4
meistens,5,f4
messer,5,f4
muslime,5,f4
politikern,5,f4
programm,5,f4
räume,5,f4
schade,5,f4
schließen,5,f4
schutz,5,f4
schutz-status,5,f4
schwangerschaft,5,f4
schwimmen,5,f4
sitzen,5,f4
sprecher,5,f4
stärker,5,f4
supermarkt,5,f4
trocken,5,f4
turnier,5,f4
u-bahn,5,f4
umwelt,5,f4
ungefähr,5,f4
urlaub,5,f4
verboten,5,f4
verdient,5,f4
verfolgung,5,f4
verkaufen,5,f4
verstorbenen,5,f4
verurteilt,5,f4
verändert,5,f4
vfl,5,f4
waschen,5,f4
wehren,5,f4
welchen,5,f4
werbung,5,f4
wichtiger,5,f4
wind,5,f4
wohnt,5,f4
wähler,5,f4
zeitschriften,5,f4
zerstört,5,f4
zoo,5,f4
übersetzt,5,f4

behinderungen,64,f3
taz,64,f3
pille,25,f3
keime,24,f3
demonstrationen,22,f3
fähre,20,f3
nachspielzeit,16,f3
südkorea,16,f3
abkürzung,15,f3
scholz,15,f3
greta,14,f3
hambacher,14,f3
inklusion,14,f3
kieler,14,f3
olaf,14,f3
specht,14,f3
►,14,f3
beton,13,f3
forst,13,f3
verlage,13,f3
berufs-ausbildung,12,f3
hühner,12,f3
katrin,12,f3
masern,12,f3
rbb,12,f3
rbb-rundfunk-rat,12,f3
viewing,12,f3
vorurteile,12,f3
antibiotika,11,f3
bücherei,11,f3
moor,11,f3
peta,11,f3
reparatur,11,f3
seen,11,f3
lab,10,f3
plastik-müll,10,f3
schiedsrichter,10,f3
●,10,f3
abgase,9,f3
christof,9,f3
hannover-burgdorf,9,f3
metzler,9,f3
seelische,9,f3
a1,8,f3
arbeits-gruppe,8,f3
franziska,8,f3
hühnern,8,f3
mecklenburg-vorpommern,8,f3
mexikos,8,f3
protestieren,8,f3
quer-einsteiger,8,f3
rollstuhl,8,f3
schwedische,8,f3
süß-stoffe,8,f3
werft,8,f3
dhb-pokal,7,f3
döner,7,f3
fachleute,7,f3
gebrannt,7,f3
habeck,7,f3
kaputten,7,f3
käfig-haltung,7,f3
masern-schutz-impfung,7,f3
medikament,7,f3
see-not-retter,7,f3
seelischen,7,f3
affe,6,f3
auszubildende,6,f3
boote,6,f3
coca-cola,6,f3
disco,6,f3
formular,6,f3
geregnet,6,f3
hanna,6,f3
katalonien,6,f3
kristina,6,f3
lebenshilfe,6,f3
münze,6,f3
plastik-attacke,6,f3
repariert,6,f3
rundfunk-rat,6,f3
schwer-behinderten-vertreter,6,f3
torwart,6,f3
unwetter,6,f3
voß,6,f3
a2,5,f3
abbrechen,5,f3
beleidigungen,5,f3
betreuer,5,f3
cannabis-pflanzen,5,f3
durchsucht,5,f3
emsland,5,f3
flüchtlings-politik,5,f3
freistoß,5,f3
gerichts-urteil,5,f3
getränken,5,f3
gleich-berechtigung,5,f3
investor,5,f3
jogi,5,f3
löw,5,f3
maurer,5,f3
meißner,5,f3
mv,5,f3
partys,5,f3
pauli,5,f3
pipeline,5,f3
politikerinnen,5,f3
protestiert,5,f3
scheidet,5,f3
schutz-impfungen,5,f3
schwer-behinderten-vertretung,5,f3
taz-autorin,5,f3
triathlon,5,f3
weimarer,5,f3
ärztin,5,f3
carles,25,f2
puigdemont,25,f2
hsh,19,f2
büchereien,17,f2
migrations-hintergrund,17,f2
kul,15,f2
baris,14,f2
freibäder,14,f2
koalitions-vertrag,13,f2
familien-nachzug,10,f2
peene-werft,10,f2
schwangerschafts-abbrüche,10,f2
annalena,9,f2
baerbock,9,f2
peiffer,9,f2
arnd,8,f2
paragrafen,8,f2
dressel,7,f2
oldesloe,7,f2
pirinçci,6,f2
verbotenes,6,f2
widerstandsfähige,6,f2
wolgast,6,f2
ärztinnen,6,f2
kappert-gonther,11,f1
tschentscher,11,f1
langensiepen,10,f1
verhütungs-mittel,8,f1
buntenbach,5,f1
